accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
E.3388-1932,1932.0,O218612,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5946,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3387-1932,1932.0,O218611,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5966,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3386-1932,1932.0,O218610,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3385-1932,1932.0,O218537,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5967,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3384-1932,1932.0,O218533,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5940,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3382-1932,1932.0,O218532,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5938,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3381-1932,1932.0,O218520,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5939,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3377-1932,1932.0,O218398,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5937,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3376-1932,1932.0,O218394,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5968,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3375-1932,1932.0,O218390,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5969,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.3364-1932,1932.0,O218319,Embroidery design,Kunst-und Fleiss-übende Nadel-Ergötzungen oder neu- erfundenes Neh- und Stick-Buch,Nuremberg,"Helm, Margaretha",made,ca.1725,2010EF5928,ink,engraving,,"Prints & Drawings Study Room, level D",False,False
E.187-1994,1994.0,O214224,Print,The Dark Hat,Great Britain,James Henry Govier,maker,1938,,Japanese paper,etching,,"Prints & Drawings Study Room, level C",False,False
E.372:13-1967,1967.0,O211466,Embroidery design,,Great Britain,"Bland, Sarah",designer,ca. 1836-1854,2010EE9203,pen,drawing,,"Prints & Drawings Study Room, level H",False,False
E.372:12-1967,1967.0,O211462,Embroidery design,,Great Britain,"Bland, Sarah",made,ca. 1836-1854,2010EE9211,water-colour,painting,,"Prints & Drawings Study Room, level H",False,False
E.372:11-1967,1967.0,O211461,Embroidery design,,Great Britain,"Bland, Sarah",made,ca. 1836-1854,2010EE9201,ink,drawing,,"Prints & Drawings Study Room, level H",False,False
E.372:9-1967,1967.0,O211457,Embroidery design,,Great Britain,"Bland, Sarah",made,ca. 1836-1854,2010EE9266,ink,drawing (image-making),,"Prints & Drawings Study Room, level H",False,False
E.372:7-1967,1967.0,O211454,Embroidery design,,Great Britain,Sarah Bland,made,ca.1836-1854,2010EE9268,pen,painting,,"Prints & Drawings Study Room, level H",False,False
E.372:5-1967,1967.0,O211450,Embroidery design,,Britain,"Bland, Sarah",made,1836-1854,2010EE9206,pen,drawing,,"Prints & Drawings Study Room, level H",False,False
E.372:4-1967,1967.0,O211446,Embroidery design,,Britain,"Bland, Sarah",made,1840x,2010EE9207,ink,,,"Prints & Drawings Study Room, level H",False,False
E.372:3-1967,1967.0,O211439,Embroidery design,,Britain,"Bland, Sarah",made,1836-1854,,water-colour,painting (image-making),,"Prints & Drawings Study Room, level H",False,False
E.372:2-1967,1967.0,O211429,Embroidery design,,,"Bland, Sarah",made,1840s,2010EE9208,,,,"Prints & Drawings Study Room, level H",False,False
E.372:1-1967,1967.0,O211412,Embroidery design,,St Leonards-on-Sea,"Bland, Sarah",maker,1836,2010EE9209,ink,drawing,,"Prints & Drawings Study Room, level H",False,False
E.472-1995,1995.0,O206554,Photograph,,,H. Walter Barnett,photographer,late 19th century - early 20th century,2018LG5109,paper,platinum process,,"Prints & Drawings Study Room, room 512M",False,False
E.99-1995,1995.0,O206042,Watercolour,"Arundel Society watercolour, Copy after the painting St Helena Finds the True Cross, by Piero  della Francesca in San Francesco, Arezzo",Italy,Cesari Mariannecci,maker,19th century,2015HW3873,watercolour,Watercolour drawing,,"Prints & Drawings Study Room, level E",False,False
E.1375:17-1993,1993.0,O205184,Bag,,Britain,Unknown,,ca. 1970,,plastic,,,"Prints & Drawings Study Room, level D",False,False
E.1375:16-1993,1993.0,O205183,Perfume bottle,,Britain,Unknown,,ca. 1970,,glass,,,"Prints & Drawings Study Room, level C",False,False
E.1375:15-1993,1993.0,O205182,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:14-1993,1993.0,O205181,Bag,,Britain,Unknown,,ca. 1970,,plastic,,,"Prints & Drawings Study Room, level D",False,False
E.1375:13-1993,1993.0,O205180,Print,,Britain,Unknown,,ca. 1970,2021NB5225,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:12-1993,1993.0,O205179,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:11-1993,1993.0,O205178,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:10-1993,1993.0,O205177,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:9-1993,1993.0,O205176,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:8-1993,1993.0,O205175,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:7-1993,1993.0,O205174,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:6-1993,1993.0,O205173,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
E.1375:5-1993,1993.0,O205172,Print,,Britain,Unknown,,ca. 1970,,,,,"Prints & Drawings Study Room, level D",False,False
